"","row_names","id","created","contract_time","contract_type","salary_min","salary_max","salary_is_predicted","description","title","company.display_name","company.canonical_name","category.tag","category.label","location.display_name","longitude","latitude","date_queried","available_today","location_coords","day_created"
"474","469","399130505","2016-06-13",NA,"permanent",53379.92,53379.92,"1",". This is a fantastic opportunity for someone with good core Java skills to join a team on the cutting edge of <strong>data</strong> <strong>science</strong> and distributed computing. What we can offer you - - A competitive salary ...","Senior Java Developer",NA,NA,"it-jobs","IT Jobs","Somerset, South West England",-2.884066,51.067069,"2016-06-22 00:03:18",FALSE,"-2.884066 51.067069",2016-06-13
"485","480","391656689","2016-05-25","full_time","permanent",65000,70000,"0","Data Scientist Asset Management London 70,000  Bonus THE COMPANY This is a unique opportunity to join a brand new <strong>data</strong> <strong>science</strong> team in a leading asset management firm based ...  <strong>Data</strong> Scientist, <strong>Data</strong> <strong>Science</strong>, MySQL, SQL, R, Tableau, Python, Alteryx, Asset Management, D3, Matlab, visualisation, machine learning, regression, clustering, neural networks, random ...","Data Scientist","Harnham",NA,"accounting-finance-jobs","Accounting & Finance Jobs","London, UK",-0.139134,51.503378,"2016-06-22 00:03:18",FALSE,"-0.139134 51.503378",2016-05-25
"512","509","399922636","2016-06-16",NA,"permanent",49336.36,49336.36,"1","...  sponsorship is provided. Requirements: Are you up for the challenge? You will possess great leadership skills and experience in leading <strong>data</strong> <strong>science</strong> projects At least 6 years working ...","Lead Data Scientist / Team Lead - Relocate to Bangkok","Big Wednesday Digital Ltd",NA,"it-jobs","IT Jobs","UK",NA,NA,"2016-06-22 00:03:18",FALSE,"NA NA",2016-06-16
"518","516","401655838","2016-06-21",NA,"contract",108000,120000,"0","...  skilling of departmental staff Embedding the <strong>Data</strong> <strong>Science</strong> capability For any queries please contact Rebecca Eaton on either or This job was originally posted as www ...","Delivery Manager","Interaction Finance",NA,"it-jobs","IT Jobs","Sheffield, South Yorkshire",-1.4648,53.383099,"2016-06-22 00:03:18",FALSE,"-1.4648 53.383099",2016-06-21
"528","526","386549911","2016-05-11",NA,NA,35000,35000,"0",", Credit Risk, <strong>Data</strong> <strong>Science</strong>, <strong>Data</strong> & Technology and Digital WHAT THE JOB AS A RECRUITMENT CONSULTANT INVOLVES Sourcing candidates & clients using a variety of methods - including cold ...","Recruitment Consultant - Global leading company","Harnham",NA,"hr-jobs","HR & Recruitment Jobs","South East London, London",-0.02806,51.451818,"2016-06-22 00:03:18",FALSE,"-0.02806 51.451818",2016-05-11
"556","554","386559478","2016-05-11",NA,NA,40000,40000,"0","...  thought about taking a step towards the realms of <strong>data</strong> <strong>science</strong>, but without the requirements for algorithmic development and machine learning - you'll be given a real opportunity to cut ...","Insight Analyst - Leading Customer Focused Proposition - Retail","Harnham",NA,"pr-advertising-marketing-jobs","PR, Advertising & Marketing Jobs","South East London, London",-0.02806,51.451818,"2016-06-22 00:03:18",FALSE,"-0.02806 51.451818",2016-05-11
"610","614","399600706","2016-06-15",NA,"permanent",60000,75000,"0","Senior Data Scientist - London - £60,000 & Benefits This is a great opportunity to join a leading organisation within their industry, with the aim to build out a strong <strong>Data</strong> ...  <strong>Science</strong> arm in the UK. This role will provide a unique opportunity to enjoy state-of-the-art research and development. The ideal candidate will have a solid understanding of Machine ...","Senior Data Scientist","IQ Analytics",NA,"it-jobs","IT Jobs","London, UK",-0.139134,51.503378,"2016-06-22 00:03:18",FALSE,"-0.139134 51.503378",2016-06-15
"611","615","399596072","2016-06-15",NA,"permanent",30000,30000,"0",", <strong>Data</strong> <strong>Science</strong>, Statistics - At least 1 year of experience of working as a Data Scientist or Data Insight Analyst. - Proficiency with SQL - Strong Excel skills - Knowledge ...","Junior Data Scientist","Scott Merrick LLP",NA,"it-jobs","IT Jobs","London, UK",-0.139134,51.503378,"2016-06-22 00:03:18",FALSE,"-0.139134 51.503378",2016-06-15
"616","621","397130833","2016-06-08",NA,"permanent",54996.29,54996.29,"1","...  efficient decision making. - Responsible for promoting <strong>data</strong> <strong>science</strong> best practices including reproducible research and clear communications and high quality code. Essential Skills: - MS ...","Customer Insight Analyst","MBN Recruitment Solutions Ltd",NA,"it-jobs","IT Jobs","Central London, London",-0.11126,51.51985,"2016-06-22 00:03:18",FALSE,"-0.11126 51.51985",2016-06-08
"618","623","399908563","2016-06-15","full_time",NA,45263.18,45263.18,"1","...  with a background in one or more of these fields: frontend web development, systems administration, statistics, <strong>data</strong> <strong>science</strong>, design, writing, and information architecture. Don't worry—no one ...","Reporter, London (""Things"" team)","Atlantic Media",NA,"unknown","Unknown","London, UK",-0.139134,51.503378,"2016-06-22 00:03:18",FALSE,"-0.139134 51.503378",2016-06-15
"632","637","393379501","2016-05-29",NA,NA,59970.27,59970.27,"1","...  and/or React)  TDD: Jasmine, Karma and/or Selenium  NoSQL/MongoDB  Proficient with Gulp  Agile development  Interest in Search and <strong>data</strong> <strong>science</strong> If you are looking for a position in which you ...","Lead Front-end JavaScript Architect - London - up to £95k","osrecruit",NA,"it-jobs","IT Jobs","UK",NA,NA,"2016-06-22 00:03:18",FALSE,"NA NA",2016-05-29
"636","641","401332278","2016-06-20",NA,NA,40000,49999,"0","...  of leading <strong>data</strong> <strong>science</strong>, <strong>data</strong> discovery and machine learning projects- Exceptional analytical skills, highly proficient in Python, SQL and R. and comfortable handling and analysing large ...","Applied Analytics Senior Associate","Jobg8",NA,"unknown","Unknown","London, UK",NA,NA,"2016-06-22 00:03:18",FALSE,"NA NA",2016-06-20
"668","675","399923268","2016-06-16",NA,"permanent",47221.11,47221.11,"1","...  to Thailand. Full relocation assistance and visa sponsorship is provided. Requirements: Are you up for the challenge? You will possess great leadership skills and experience in leading <strong>data</strong> ...  <strong>science</strong> projects At least 6 years working as a statistician / analyst / data scientist At least a BSc in Statistics / Computer Science / Physics / Operational Research / Math or other ...","Lead Data Scientist / Team Lead - Relocate to Bangkok","Big Wednesday Digital Ltd",NA,"it-jobs","IT Jobs","The City, Central London",NA,NA,"2016-06-22 00:03:18",FALSE,"NA NA",2016-06-16
"683","690","388663725","2016-05-17",NA,NA,30000,30000,"0",". They believe in thinking big, exploring new technology, using <strong>data</strong> <strong>science</strong> to inspire creativity, caring about everything that leaves the door, and working as one team. They believe ...","Mid Weight Digital Designer - Digital Agency","Henry Nicholas Associates",NA,"pr-advertising-marketing-jobs","PR, Advertising & Marketing Jobs","Newbury, West Berkshire",-1.32186,51.400398,"2016-06-22 00:03:18",FALSE,"-1.32186 51.400398",2016-05-17
"689","697","396183511","2016-06-06",NA,"permanent",62821.71,62821.71,"1","...  to recruit a Senior Data Scientist with skills in managing high volume Cloud storage systems. The majority of your time will be spent building <strong>Data</strong> <strong>Science</strong> models to generate predictive ...","Senior Data Scientist & Big Data Cloud Storage",NA,NA,"it-jobs","IT Jobs","London, UK",-0.139134,51.503378,"2016-06-22 00:03:18",FALSE,"-0.139134 51.503378",2016-06-06
"725","736","386551486","2016-05-11",NA,NA,35000,35000,"0",", contracter, contract, freelance, regulatory writer, regulatory writing, clinical <strong>data</strong>, writing, <strong>Science</strong>, writer, medical writer, scientific writer, editorial, editor, publishing NonStop ...","Freelance Medical Writer Contract - London","NonStop Recruitment",NA,"healthcare-nursing-jobs","Healthcare & Nursing Jobs","The City, Central London",NA,NA,"2016-06-22 00:03:18",FALSE,"NA NA",2016-05-11
"731","745","401701930","2016-06-21","full_time",NA,49781.04,49781.04,"1","-world data study designs.  Maintains knowledge of Real-World <strong>Data</strong> <strong>science</strong> methods and their application  Maintains knowledge of Real-World Data sources applicable to Diagnostics ...  discipline.  5 years of relevant experience on real-world <strong>data</strong> <strong>science</strong> projects  Good knowledge of English in a business environment.  Programming experience with SAS or/and other ...","Data Scientist (Epidemiology & Health Economics Fo","Roche Molecular",NA,"it-jobs","IT Jobs","UK",NA,NA,"2016-06-22 00:03:18",FALSE,"NA NA",2016-06-21
"732","746","399923456","2016-06-16",NA,"permanent",32000,34000,"0","...  testing, distributed computing on Hadoop, geospatial or <strong>data</strong> <strong>sciences</strong>. Essential Skills as a Lead Software Engineer (Java) include: An advanced understanding of Java. Work in an agile ...","Senior Java Software Engineer","Circle Recruitment",NA,"it-jobs","IT Jobs","Taunton, Somerset",-3.10345,51.014702,"2016-06-22 00:03:18",FALSE,"-3.10345 51.014702",2016-06-16
